Tool,Score,Description,URL,bio.tools URL
ontoquestmain,0.333,Search terms starting for the query used for auto-complete service.,https://www.biocatalogue.org/services/2715,https://bio.tools/ontoquestmain
gomap,0.333,"Gene Ontology Meta Annotator for Plants.

Lawrence-Dill Plant Informatics and Computation Lab.

Welcome to GOMAP-singularity’s documentation! — GOMAP-Singularity 1.3.2 documentation.

All publications and products by the team at Lawrence-Dill Plant Informatics and Computation Lab. Click on the link to learn more.

Publicly available GOMAP Datasets.

These datasets generated by GOMAP are new high-coverage and reproducible functional annotation sets of protein coding genes based on Gene Ontology (GO) term assignments. Follow the DOI link for more information, access, and download. Check out the main project page (Home on the left) to find out more about how they were generated and how you can use the pipeline yourself.",,https://bio.tools/gomap
synteny browser,0.333,"The JAX Synteny Browser for mouse-human comparative genomics.

An interactive web-based conserved synteny browser application.

The Jackson Laboratory Synteny Browser.

An interactive web-based conserved synteny browser application, The Jackson Laboratory (JAX) Synteny Browser. The browser allows researchers to highlight or selectively display genome features in the reference and/or the comparison genomes based on the biological attributes of the features. The current implementation for the browser supports the reference genomes of the laboratory mouse and human.

Show true orientation of comparison genome relative to reference Always show gene symbols Show anchors.

Reference species (outer ring) Mus musculus Homo sapiens",https://github.com/TheJacksonLaboratory/syntenybrowser,https://bio.tools/synteny browser
smog,0.333,"> HOMEPAGE MISSING! | > NAME EQUAL TO (PUB. DIFFERENT) bio.tools/smog | A Lightweight Tool for Object-Spreadsheet Mapping | In the life science domain, experts are usually familiar with spreadsheet software and often use it in their daily work to collect and structure required domain knowledge. The processing and analysis of spreadsheet data is an important task that must be supported by efficient software solutions. A typical application scenario is for example an integration of spreadsheet data (specified or derived) in an ontology to provide reasoning or search. Different converter tools were developed to support a spreadsheet-to-ontology transformation. Such tools allow often only a relatively simple structure of the spreadsheet template or they require complex mapping processes to map the spreadsheet and ontological entities",,https://bio.tools/smog
aiso,0.333,Interactive image segmentation tool designed to allow curators of biological specimens to segment and annotate image data with ontology terms.,http://www.mybiosoftware.com/aiso-0-3-image-segmentation-tool.html,https://bio.tools/aiso
gorilla,0.333,Tool for identifying and visualizing enriched GO terms in ranked lists of genes.,,https://bio.tools/gorilla
phexpo,0.333,"Phexpo a package for bidirectional enrichment analysis of phenotypes and chemicals.

Phexpo is an R package for enrichment analysis of phenotypes (from the Human Phenotype Ontology(Köhler et al., 2019)) and chemicals.",,https://bio.tools/phexpo
edamhasoutput,0.333,Find EDAM ontology terms by has_output relation.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/edamhasoutput
edamname,0.333,Find EDAM ontology terms by name.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/edamname
tooldog,0.333,This tool aims to generate XML template for Galaxy or CWL from the description of tools from the bio.tools registry.,https://github.com/bio-tools/ToolDog,https://bio.tools/tooldog
deeppheno,0.333,DeepPheno is a method for predicting gene-phenotype (HPO classes) associations from gene functional annotations (GO classes). Predicting single gene knockout phenotypes.,https://github.com/bio-ontology-research-group/deeppheno/issues,https://bio.tools/deeppheno
riken integrated database of mammals,0.333,"It integrates not only RIKEN’s original databases, but also imported data from public databases, such as Ensembl, MGI and biomedical ontologies. The top-level ontology-based implementation of mammal-related data directly integrates the representative knowledge and individual data records in existing databases to ensure advanced cross-database searches and reduced unevenness of the data management operations.",http://scinets.org/db/mammal,https://bio.tools/riken integrated database of mammals
ramigo,0.333,"R interface sending requests to AmiGO visualize, retrieving DAG GO trees, parsing GraphViz DOT format files and exporting GML files for Cytoscape. Also uses RCytoscape to interactively display AmiGO trees in Cytoscape.",,https://bio.tools/ramigo
goslin,0.333,"Goslin is the Grammar of succinct lipid nomenclature project. It defines multiple grammers compatible with ANTLRv4 for different sources of shorthand lipid nomenclature. This allows to generate parsers based on the defined grammars, which provide immediate feedback whether a processed lipid shorthand notation string is compliant with a particular grammar, or not.",https://github.com/lifs-tools/goslin,https://bio.tools/goslin
vio,0.333,"ontology classification and study of vaccine responses given various experimental and analytical conditions.

VIO: Vaccine Investigation Ontology.

Statistics of Vaccine Investigation Ontology.

IRI: https://raw.githubusercontent.com/vaccineontology/VIO/master/src/ontology/vio.owl.

VIO and its usage in studying Yellow Fever vaccine-induced host response were presented in the VDOS-2018 workshop: https://sites.google.com/site/vdosworkshop/VDOS-2018.

Note: This version of statistics metrics does not include any instance data yet. This feature will be added in the future",https://github.com/vaccineontology/VIO,https://bio.tools/vio
